id_batiment,infra_id,infra_etat,longueur,type_batiment,nb_maisons,type_infra
E000036,P007402,infra_intacte,8.64060281351536,habitation,1,fourreau
E000037,P007111,infra_intacte,12.3144613356693,habitation,4,fourreau
E000037,P007983,infra_intacte,40.3209288665353,habitation,4,aerien
E000037,P000160,infra_intacte,44.6252544771484,habitation,4,semi-aerien
E000037,P000348,infra_intacte,9.12960147203556,habitation,4,aerien
E000037,P000020,infra_intacte,51.3121054948589,habitation,4,aerien
E000037,P000148,infra_intacte,34.0746754515243,habitation,4,aerien
E000037,P007395,infra_intacte,11.1110240485116,habitation,4,aerien
E000038,P007111,infra_intacte,12.3144613356693,habitation,6,fourreau
E000038,P007983,infra_intacte,40.3209288665353,habitation,6,aerien
E000038,P000160,infra_intacte,44.6252544771484,habitation,6,semi-aerien
E000038,P000348,infra_intacte,9.12960147203556,habitation,6,aerien
E000038,P000020,infra_intacte,51.3121054948589,habitation,6,aerien
E000038,P000148,infra_intacte,34.0746754515243,habitation,6,aerien
E000038,P007347,infra_intacte,17.3680174427927,habitation,6,aerien
E000039,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
E000039,P007983,infra_intacte,40.3209288665353,habitation,2,aerien
E000039,P000160,infra_intacte,44.6252544771484,habitation,2,semi-aerien
E000039,P000348,infra_intacte,9.12960147203556,habitation,2,aerien
E000039,P000020,infra_intacte,51.3121054948589,habitation,2,aerien
E000039,P000015,infra_intacte,7.95699200194991,habitation,2,fourreau
E000039,P007193,infra_intacte,8.20660981592346,habitation,2,aerien
E000040,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
E000040,P007983,infra_intacte,40.3209288665353,habitation,2,aerien
E000040,P000308,infra_intacte,39.1407985664577,habitation,2,fourreau
E000040,P000308,infra_intacte,39.1407985664577,habitation,2,fourreau
E000040,P000160,infra_intacte,44.6252544771484,habitation,2,semi-aerien
E000040,P000187,infra_intacte,15.0067646658694,habitation,2,fourreau
E000040,P007239,infra_intacte,6.99283985604053,habitation,2,fourreau
E000041,P007111,infra_intacte,12.3144613356693,habitation,2,fourreau
E000041,P007983,infra_intacte,40.3209288665353,habitation,2,aerien
